oper_data;oper_cv;oper_corret;oper_tipo;oper_ticker;oper_qtd;oper_preco_unit;oper_valor;oper_taxas;oper_ir;oper_moeda
19/09/2017;V;MyCap;Ação;CSNA3;-600;11,1;6660;63,2;0;BRL
19/09/2017;V;MyCap;Ação;GOAU4;-700;5,85;4095;0;0;BRL
19/09/2017;V;MyCap;Ação;ITSA4;-200;11,25;2250;0;0;BRL
19/09/2017;V;MyCap;Ação;NTCO3;-300;34,55;10365;0;0;BRL
19/09/2017;V;MyCap;Ação;PETR4;-1600;15,11;24176;0;0;BRL
19/09/2017;V;MyCap;Ação;VALE3;-700;33,5;23450;0;0;BRL
19/09/2017;V;MyCap;Ação;WEGE3;-100;23,68;2368;0;0;BRL
20/09/2017;C;MyCap;Ação;NTCO3;1000;33,8;33800;16,08;0;BRL
01/11/2017;C;MyCap;Ação;VALE3;200;32,98;6596;7,23;0;BRL
21/12/2017;C;MyCap;Ação;CSNA3;300;7,85;2355;18,24;0;BRL
21/12/2017;C;MyCap;Ação;FLRY3;100;27,99;2799;0;0;BRL
21/12/2017;C;MyCap;Ação;VALE3;100;39,43;3943;0;0;BRL
03/01/2018;C;MyCap;Ação;BBAS3;100;33,17;3317;6,12;0;BRL
03/01/2018;C;MyCap;Ação;VALE3;300;41,75;12525;9,22;0;BRL
17/01/2018;C;MyCap;Ação;PETR4;200;18,05;3610;6,27;0;BRL
01/02/2018;C;MyCap;Ação;PETR4;100;20,43;2043;5,76;0;BRL
28/02/2018;C;MyCap;Ação;BBAS3;200;42,81;8562;0;0;BRL
28/02/2018;V;MyCap;Ação;NTCO3;-500;35,08;17540;0;0;BRL
28/02/2018;C;MyCap;Ação;PETR4;200;21,7;4340;0;0;BRL
28/02/2018;C;MyCap;Ação;VALE3;100;46,95;4695;0;0;BRL
01/03/2018;C;MyCap;Ação;CSNA3;100;10,02;1002;0;0;BRL
01/03/2018;V;MyCap;Ação;FLRY3;-100;27,5;2750;0;0;BRL
01/03/2018;C;MyCap;Ação;MGLU3;3200;2,84;9086;0;0;BRL
02/04/2018;C;MyCap;Ação;CVCB3;100;59,2;5920;6,99;0;BRL
05/04/2018;V;MyCap;Ação;NTCO3;-100;32,85;3285;6,18;0;BRL
05/04/2018;C;MyCap;Ação;PETR4;100;21,16;2116;5,76;0;BRL
18/04/2018;C;MyCap;Ação;BRFS3;300;24,55;7365;7,48;0;BRL
18/04/2018;V;MyCap;Ação;NTCO3;-200;32,04;6408;7,16;0;BRL
07/05/2018;C;MyCap;Ação;VALE3;100;49,57;4957;6,7;0;BRL
09/05/2018;V;MyCap;Ação;CVCB3;-100;53,03;5303;6,79;0;BRL
09/05/2018;C;MyCap;Ação;MGLU3;3200;3,54;11326;8,82;0;BRL
09/05/2018;V;MyCap;Ação;NTCO3;-200;31,24;6248;7,1;0;BRL
17/05/2018;V;MyCap;Ação;BRFS3;-300;22,2;6660;7,25;0;BRL
