rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
31/12/2018;Saídas;MyCap;Cash;MyCap Conta Invest;531,67;0;BRL
01/01/2019;Entradas;MyCap;Cash;MyCap Conta Invest;0;547,38;BRL
31/01/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;20000;BRL
31/01/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;34,66;BRL
31/01/2019;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;7,73;BRL
31/01/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;14819,86;0;BRL
31/01/2019;Resgate;BB PJ;REF DI;Coaching BB Invest;384,94;0;BRL
01/02/2019;Entradas;MyCap;Cash;MyCap Conta Invest;0;5050,06;BRL
28/02/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6000;BRL
28/02/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;20,75;BRL
28/02/2019;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;1,85;BRL
28/02/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;11551,74;0;BRL
28/02/2019;Resgate;BB PJ;REF DI;Coaching BB Invest;117,23;0;BRL
31/03/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;14000;BRL
31/03/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;12,09;BRL
31/03/2019;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;3,24;BRL
31/03/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;14419,46;0;BRL
31/03/2019;Resgate;BB PJ;REF DI;Coaching BB Invest;50;0;BRL
31/03/2019;Saídas;MyCap;Cash;MyCap Conta Invest;5293,58;0;BRL
30/04/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;13500;BRL
30/04/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;12,91;BRL
30/04/2019;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;1,6;BRL
30/04/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;10784,85;0;BRL
30/04/2019;Resgate;BB PJ;REF DI;Coaching BB Invest;1242,41;0;BRL
30/04/2019;Saídas;MyCap;Cash;MyCap Conta Invest;98,22;0;BRL
31/05/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;10000;BRL
31/05/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;16,27;BRL
31/05/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;9814,92;0;BRL
